# DerivedCoreProperties-16.0.0.txt
# Date: 2024-05-31, 18:09:32 GMT
# © 2024 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Derived Property: Math
#  Generated from: Sm + Other_Math

002B          ; Math
003C..003E    ; Math
005E          ; Math
007C          ; Math
007E          ; Math
00AC          ; Math
00B1          ; Math
00D7          ; Math
00F7          ; Math
03D0..03D2    ; Math
03D5          ; Math
03F0..03F1    ; Math
03F4..03F5    ; Math
03F6          ; Math
0606..0608    ; Math
2016          ; Math
2032..2034    ; Math
2040          ; Math
2044          ; Math
2052          ; Math
2061..2064    ; Math
207A..207C    ; Math
207D          ; Math
207E          ; Math
208A..208C    ; Math
208D          ; Math
208E          ; Math
20D0..20DC    ; Math
20E1          ; Math
20E5..20E6    ; Math
20EB..20EF    ; Math
2102          ; Math
2107          ; Math
210A..2113    ; Math
2115          ; Math
2118          ; Math
2119..211D    ; Math
2124          ; Math
2128          ; Math
2129          ; Math
212C..212D    ; Math
212F..2131    ; Math
2133..2134    ; Math
2135..2138    ; Math
213C..213F    ; Math
2140..2144    ; Math
2145..2149    ; Math
214B          ; Math
2190..2194    ; Math
2195..2199    ; Math
219A..219B    ; Math
219C..219F    ; Math
21A0          ; Math
21A1..21A2    ; Math
21A3          ; Math
21A4..21A5    ; Math
21A6          ; Math
21A7          ; Math
21A9..21AD    ; Math
21AE          ; Math
21B0..21B1    ; Math
21B6..21B7    ; Math
21BC..21CD    ; Math
21CE..21CF    ; Math
21D0..21D1    ; Math
21D2          ; Math
21D3          ; Math
21D4          ; Math
21D5..21DB    ; Math
21DD          ; Math
21E4..21E5    ; Math
21F4..22FF    ; Math
2308          ; Math
2309          ; Math
230A          ; Math
230B          ; Math
2320..2321    ; Math
237C          ; Math
239B..23B3    ; Math
23B4..23B5    ; Math
23B7          ; Math
23D0          ; Math
23DC..23E1    ; Math
23E2          ; Math
25A0..25A1    ; Math
25AE..25B6    ; Math
25B7          ; Math
25BC..25C0    ; Math
25C1          ; Math
25C6..25C7    ; Math
25CA..25CB    ; Math
25CF..25D3    ; Math
25E2          ; Math
25E4          ; Math
25E7..25EC    ; Math
25F8..25FF    ; Math
2605..2606    ; Math
2640          ; Math
2642          ; Math
2660..2663    ; Math
266D..266E    ; Math
266F          ; Math
27C0..27C4    ; Math
27C5          ; Math
27C6          ; Math
27C7..27E5    ; Math
27E6          ; Math
27E7          ; Math
27E8          ; Math
27E9          ; Math
27EA          ; Math
27EB          ; Math
27EC          ; Math
27ED          ; Math
27EE          ; Math
27EF          ; Math
27F0..27FF    ; Math
2900..2982    ; Math
2983          ; Math
2984          ; Math
2985          ; Math
2986          ; Math
2987          ; Math
2988          ; Math
2989          ; Math
298A          ; Math
298B          ; Math
298C          ; Math
298D          ; Math
298E          ; Math
298F          ; Math
2990          ; Math
2991          ; Math
2992          ; Math
2993          ; Math
2994          ; Math
2995          ; Math
2996          ; Math
2997          ; Math
2998          ; Math
2999..29D7    ; Math
29D8          ; Math
29D9          ; Math
29DA          ; Math
29DB          ; Math
29DC..29FB    ; Math
29FC          ; Math
29FD          ; Math
29FE..2AFF    ; Math
2B30..2B44    ; Math
2B47..2B4C    ; Math
F8BC          ; Math
F8BD          ; Math
F8C0          ; Math
FB29          ; Math
FE61          ; Math
FE62          ; Math
FE63          ; Math
FE64..FE66    ; Math
FE68          ; Math
FF0B          ; Math
FF1C..FF1E    ; Math
FF3C          ; Math
FF3E          ; Math
FF5C          ; Math
FF5E          ; Math
