# ScriptExtensions-16.0.0.txt
# Date: 2024-07-30, 19:38:00 GMT
# © 2024 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/
#
# The Script_Extensions property indicates which characters are commonly used
# with more than one script, but with a limited number of scripts.
# For each code point, there is one or more property values.  Each such value is a Script property value.
# For more information, see:
#   UAX #24, Unicode Script Property: https://www.unicode.org/reports/tr24/
#     Especially the sections:
#       https://www.unicode.org/reports/tr24/#Assignment_Script_Values
#       https://www.unicode.org/reports/tr24/#Assignment_ScriptX_Values
#
# Each Script_Extensions value in this file consists of a set
# of one or more abbreviated Script property values. The ordering of the
# values in that set is not material, but for stability in presentation
# it is given here as alphabetical.
#
# All code points not explicitly listed for Script_Extensions
# have as their value the corresponding Script property value.
#
# @missing: 0000..10FFFF; <script>
00B7          ; Avst Cari Copt Dupl Elba Geor Glag Gong Goth Grek Hani Latn Lydi Mahj Perm Shaw #Po MIDDLE DOT
02BC          ; Beng Cyrl Deva Latn Lisu Thai Toto #Lm   MODIFIER LETTER APOSTROPHE
02C7          ; Bopo Latn                      # Lm      CARON
02C9..02CB    ; Bopo Latn                      # Lm  [3] MODIFIER LETTER MACRON..MODIFIER LETTER GRAVE ACCENT
02CD          ; Latn Lisu                      # Lm      MODIFIER LETTER LOW MACRON
02D7          ; Latn Thai                      # Sk      MODIFIER LETTER MINUS SIGN
02D9          ; Bopo Latn                      # Sk      DOT ABOVE
0300          ; Cher Copt Cyrl Grek Latn Perm Sunu Tale #Mn COMBINING GRAVE ACCENT
0301          ; Cher Cyrl Grek Latn Osge Sunu Tale Todr #Mn COMBINING ACUTE ACCENT
0302          ; Cher Cyrl Latn Tfng            # Mn      COMBINING CIRCUMFLEX ACCENT
0303          ; Glag Latn Sunu Syrc Thai       # Mn      COMBINING TILDE
0304          ; Aghb Cher Copt Cyrl Goth Grek Latn Osge Syrc Tfng Todr #Mn COMBINING MACRON
0305          ; Copt Elba Glag Goth Kana Latn  # Mn      COMBINING OVERLINE
0306          ; Cyrl Grek Latn Perm            # Mn      COMBINING BREVE
0307          ; Copt Dupl Hebr Latn Perm Syrc Tale Tfng Todr #Mn COMBINING DOT ABOVE
0308          ; Armn Cyrl Dupl Goth Grek Hebr Latn Perm Syrc Tale #Mn COMBINING DIAERESIS
0309          ; Latn Tfng                      # Mn      COMBINING HOOK ABOVE
030A          ; Dupl Latn Syrc                 # Mn      COMBINING RING ABOVE
030B          ; Cher Cyrl Latn Osge            # Mn      COMBINING DOUBLE ACUTE ACCENT
030C          ; Cher Latn Tale                 # Mn      COMBINING CARON
030D          ; Latn Sunu                      # Mn      COMBINING VERTICAL LINE ABOVE
030E          ; Ethi Latn                      # Mn      COMBINING DOUBLE VERTICAL LINE ABOVE
0310          ; Latn Sunu                      # Mn      COMBINING CANDRABINDU
0311          ; Cyrl Latn Todr                 # Mn      COMBINING INVERTED BREVE
0313          ; Grek Latn Perm Todr            # Mn      COMBINING COMMA ABOVE
0320          ; Latn Syrc                      # Mn      COMBINING MINUS SIGN BELOW
0323          ; Cher Dupl Kana Latn Syrc       # Mn      COMBINING DOT BELOW
0324          ; Cher Dupl Latn Syrc            # Mn      COMBINING DIAERESIS BELOW
0325          ; Latn Syrc                      # Mn      COMBINING RING BELOW
032D          ; Latn Sunu Syrc                 # Mn      COMBINING CIRCUMFLEX ACCENT BELOW
032E          ; Latn Syrc                      # Mn      COMBINING BREVE BELOW
0330          ; Cher Latn Syrc                 # Mn      COMBINING TILDE BELOW
0331          ; Aghb Cher Goth Latn Sunu Thai  # Mn      COMBINING MACRON BELOW
0342          ; Grek                           # Mn      COMBINING GREEK PERISPOMENI
0345          ; Grek                           # Mn      COMBINING GREEK YPOGEGRAMMENI
0358          ; Latn Osge                      # Mn      COMBINING DOT ABOVE RIGHT
035E          ; Aghb Latn Todr                 # Mn      COMBINING DOUBLE MACRON
0363..036F    ; Latn                           # Mn [13] COMBINING LATIN SMALL LETTER A..COMBINING LATIN SMALL LETTER X
0374          ; Copt Grek                      # Lm      GREEK NUMERAL SIGN
0375          ; Copt Grek                      # Sk      GREEK LOWER NUMERAL SIGN
0483          ; Cyrl Perm                      # Mn      COMBINING CYRILLIC TITLO
0484          ; Cyrl Glag                      # Mn      COMBINING CYRILLIC PALATALIZATION
0485..0486    ; Cyrl Latn                      # Mn  [2] COMBINING CYRILLIC DASIA PNEUMATA..COMBINING CYRILLIC PSILI PNEUMATA
0487          ; Cyrl Glag                      # Mn      COMBINING CYRILLIC POKRYTIE
0589          ; Armn Geor Glag                 # Po      ARMENIAN FULL STOP
060C          ; Arab Gara Nkoo Rohg Syrc Thaa Yezi #Po   ARABIC COMMA
061B          ; Arab Gara Nkoo Rohg Syrc Thaa Yezi #Po   ARABIC SEMICOLON
061C          ; Arab Syrc Thaa                 # Cf      ARABIC LETTER MARK
061F          ; Adlm Arab Gara Nkoo Rohg Syrc Thaa Yezi #Po ARABIC QUESTION MARK
0640          ; Adlm Arab Mand Mani Ougr Phlp Rohg Sogd Syrc #Lm ARABIC TATWEEL
064B..0655    ; Arab Syrc                      # Mn [11] ARABIC FATHATAN..ARABIC HAMZA BELOW
0660..0669    ; Arab Thaa Yezi                 # Nd [10] ARABIC-INDIC DIGIT ZERO..ARABIC-INDIC DIGIT NINE
0670          ; Arab Syrc                      # Mn      ARABIC LETTER SUPERSCRIPT ALEF
06D4          ; Arab Rohg                      # Po      ARABIC FULL STOP
0951          ; Beng Deva Gran Gujr Guru Knda Latn Mlym Orya Shrd Taml Telu Tirh #Mn DEVANAGARI STRESS SIGN UDATTA
0952          ; Beng Deva Gran Gujr Guru Knda Latn Mlym Orya Taml Telu Tirh #Mn DEVANAGARI STRESS SIGN ANUDATTA
0964          ; Beng Deva Dogr Gong Gonm Gran Gujr Guru Knda Mahj Mlym Nand Onao Orya Sind Sinh Sylo Takr Taml Telu Tirh #Po DEVANAGARI DANDA
0965          ; Beng Deva Dogr Gong Gonm Gran Gujr Gukh Guru Knda Limb Mahj Mlym Nand Onao Orya Sind Sinh Sylo Takr Taml Telu Tirh #Po DEVANAGARI DOUBLE DANDA
0966..096F    ; Deva Dogr Kthi Mahj            # Nd [10] DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT NINE
09E6..09EF    ; Beng Cakm Sylo                 # Nd [10] BENGALI DIGIT ZERO..BENGALI DIGIT NINE
0A66..0A6F    ; Guru Mult                      # Nd [10] GURMUKHI DIGIT ZERO..GURMUKHI DIGIT NINE
0AE6..0AEF    ; Gujr Khoj                      # Nd [10] GUJARATI DIGIT ZERO..GUJARATI DIGIT NINE
0BE6..0BEF    ; Gran Taml                      # Nd [10] TAMIL DIGIT ZERO..TAMIL DIGIT NINE
0BF0..0BF2    ; Gran Taml                      # No  [3] TAMIL NUMBER TEN..TAMIL NUMBER ONE THOUSAND
0BF3          ; Gran Taml                      # So      TAMIL DAY SIGN
0CE6..0CEF    ; Knda Nand Tutg                 # Nd [10] KANNADA DIGIT ZERO..KANNADA DIGIT NINE
1040..1049    ; Cakm Mymr Tale                 # Nd [10] MYANMAR DIGIT ZERO..MYANMAR DIGIT NINE
10FB          ; Geor Glag Latn                 # Po      GEORGIAN PARAGRAPH SEPARATOR
16EB..16ED    ; Runr                           # Po  [3] RUNIC SINGLE PUNCTUATION..RUNIC CROSS PUNCTUATION
